RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalLatePays,DebtToIncomeRatio,CreditDensity,ActualDefault,DefaultProbability,CreditScore,ScoreBand,Decision
0.161206727,57,0,10.0,5400.0,10,0,2,0,0.0,0,54000.0,0.24937655860349126,0,0.24295972163345594,519,501-600,MANUAL REVIEW
0.9999999,43,0,0.25214676,1280.0,2,0,0,0,2.0,0,322.74785280000003,0.07662835249042145,0,0.7295492694664127,458,300-500,DECLINE
0.012012093,72,0,0.669768404,4835.0,13,0,3,0,0.0,0,3238.33023334,0.23593466424682394,0,0.18095485155018562,530,501-600,MANUAL REVIEW
0.753549763,47,0,10.0,5400.0,17,0,2,0,2.0,0,54000.0,0.5647840531561461,0,0.6837435339414091,464,300-500,DECLINE
0.23106255,73,0,0.270052539,5709.0,5,0,1,0,0.0,0,1541.7299451509998,0.08912655971479501,0,0.199327369952875,527,501-600,MANUAL REVIEW
0.169241956,26,0,0.005623828,4800.0,5,0,0,0,0.0,0,26.9943744,0.5494505494505495,0,0.3204823060684678,508,501-600,MANUAL REVIEW
0.168826405,62,0,0.313863546,10083.0,13,0,1,0,0.0,0,3164.686134318,0.2882483370288248,0,0.22747750680866302,522,501-600,MANUAL REVIEW
0.574030426,30,0,0.322085117,3970.0,9,0,1,0,0.0,0,1278.67791449,0.6870229007633588,0,0.5940127211073306,476,300-500,DECLINE
0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,2,2583.59313735,0.3036876355748373,1,0.48384066406350457,488,300-500,DECLINE
0.9999999,46,1,10.0,5400.0,5,0,2,0,0.0,1,54000.0,0.1718213058419244,0,0.7893138036881523,449,300-500,DECLINE
0.011933068,48,0,0.225393805,9458.0,14,0,1,0,1.0,0,2131.77460769,0.45016077170418006,0,0.21964917166061287,523,501-600,MANUAL REVIEW
0.147711678,65,0,0.128289474,2735.0,10,0,0,0,0.0,0,350.87171139,0.20790020790020788,0,0.20447770486453243,526,501-600,MANUAL REVIEW
0.503966402,39,0,0.945621751,2500.0,11,0,2,0,1.0,0,2364.0543775,0.4977375565610859,0,0.5541818083726111,480,300-500,DECLINE
0.708458975,49,2,0.214197404,9705.0,12,0,0,2,4.0,4,2078.78580582,0.37383177570093457,0,0.7004371238453068,462,300-500,DECLINE
0.276054839,54,0,10.0,5400.0,10,0,2,0,0.0,0,54000.0,0.2695417789757412,0,0.3092387381725215,510,501-600,MANUAL REVIEW
0.39120923,53,0,0.314263774,10417.0,17,0,1,0,0.0,0,3273.685733758,0.4709141274238227,0,0.39731935486223746,499,300-500,DECLINE
0.090007811,49,0,0.516639269,27374.0,17,0,4,0,2.0,0,14142.483349606,0.5295950155763239,0,0.27142330596361347,515,501-600,MANUAL REVIEW
0.030323232,36,1,0.073493876,12000.0,4,0,0,0,0.0,1,881.926512,0.20942408376963348,0,0.24642544382551276,519,501-600,MANUAL REVIEW
0.605087182,41,0,0.605583071,2220.0,7,0,1,0,2.0,0,1344.39441762,0.2904564315352697,0,0.5682563801511111,479,300-500,DECLINE
0.120499294,45,0,0.193215632,5040.0,14,0,0,0,0.0,0,973.80678528,0.49822064056939497,0,0.26935553741694124,515,501-600,MANUAL REVIEW
0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,5,513.691661112,0.4180064308681672,1,0.9163974208176178,418,300-500,DECLINE
0.004457058,49,0,10.0,5400.0,10,0,1,0,0.0,0,54000.0,0.3115264797507788,0,0.18781582371997105,529,501-600,MANUAL REVIEW
0.83719789,46,3,0.249216535,6700.0,6,1,1,1,3.0,5,1669.7507845,0.20618556701030927,0,0.8730035073573321,431,300-500,DECLINE
0.230126478,50,0,0.634287366,3458.0,7,0,2,0,0.0,0,2193.365711628,0.21148036253776434,0,0.30575773597163936,510,501-600,MANUAL REVIEW
0.169859553,55,0,0.139361385,3350.0,8,0,0,0,1.0,0,466.86063975,0.2099737532808399,0,0.24044811872064542,520,501-600,MANUAL REVIEW
0.111826378,50,0,0.154754762,26667.0,17,0,2,0,2.0,0,4126.845238254,0.5135951661631419,0,0.23596232493512814,521,501-600,MANUAL REVIEW
0.632259112,77,0,0.474204947,4244.0,11,0,1,0,0.0,0,2012.525795068,0.18302828618968386,0,0.4240631563435595,495,300-500,DECLINE
0.0,76,0,0.062032263,6012.0,7,0,0,0,1.0,0,372.93796515599996,0.11844331641285956,0,0.11889833625949203,544,501-600,MANUAL REVIEW
0.827052558,36,0,0.220602527,4115.0,8,0,0,0,2.0,0,907.779398605,0.41884816753926696,0,0.6960271753225933,463,300-500,DECLINE
0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,0,14675.89305105,0.6744868035190615,1,0.6524591287359464,468,300-500,DECLINE
0.333992374,36,2,0.338357795,10083.0,8,0,2,0,3.0,2,3411.661646985,0.41884816753926696,0,0.6136808626246152,473,300-500,DECLINE
0.9999999,28,0,0.20326766,2080.0,2,0,0,0,1.0,0,422.7967328,0.1801801801801802,0,0.7688858115902515,452,300-500,DECLINE
0.661451543,26,0,0.05956059,5825.0,6,0,0,0,4.0,0,346.94043675,0.6593406593406593,0,0.6556007129397298,468,300-500,DECLINE
0.879330362,34,0,0.332458443,8000.0,9,0,2,0,2.0,0,2659.667544,0.5263157894736842,0,0.7573274712857968,454,300-500,DECLINE
0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,2,1613.67758552,1.144278606965174,1,0.8716184479966257,431,300-500,DECLINE
0.377160304,44,1,0.891555422,6666.0,10,0,2,0,1.0,1,5943.108443052,0.36900369003690037,0,0.5212607646874263,484,300-500,DECLINE
0.02728166,42,0,10.0,5400.0,4,0,0,0,0.0,0,54000.0,0.1593625498007968,0,0.176134819676669,531,501-600,MANUAL REVIEW
0.0,63,0,0.538795442,16586.0,15,0,3,0,1.0,0,8936.461201012,0.32537960954446854,0,0.18631172997453624,529,501-600,MANUAL REVIEW
0.9999999,41,0,10.0,5400.0,2,0,0,0,0.0,0,54000.0,0.08298755186721991,0,0.6863318504452274,464,300-500,DECLINE
0.157900794,68,0,10.0,5400.0,9,0,2,0,0.0,0,54000.0,0.1761252446183953,0,0.20375467526240829,526,501-600,MANUAL REVIEW
0.157719455,57,0,0.211451101,11666.0,12,0,2,0,1.0,0,2466.788544266,0.29925187032418954,0,0.25262571008852563,518,501-600,MANUAL REVIEW
0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,0,2515.639543487,0.3418803418803419,0,0.7362472609750653,457,300-500,DECLINE
0.178550565,53,0,0.272410455,10329.0,11,0,1,0,0.0,0,2813.727589695,0.3047091412742382,0,0.2503129585388835,518,501-600,MANUAL REVIEW
0.023410572,56,0,10.0,5400.0,17,0,2,0,0.0,0,54000.0,0.43478260869565216,0,0.21994825682269242,523,501-600,MANUAL REVIEW
0.286095187,42,0,0.264635888,2100.0,2,0,0,0,2.0,0,555.7353648,0.0796812749003984,0,0.3223448336531395,508,501-600,MANUAL REVIEW
0.27866852,42,0,0.539243459,6000.0,9,0,2,0,4.0,0,3235.460754,0.3585657370517928,0,0.4109235044264789,497,300-500,DECLINE
0.218079196,69,0,10.0,5400.0,13,0,2,0,0.0,0,54000.0,0.2495201535508637,0,0.2440827981153877,519,501-600,MANUAL REVIEW
0.081727997,45,0,0.342741254,11833.0,11,0,2,0,1.0,0,4055.657258582,0.39145907473309605,0,0.25445474727385875,518,501-600,MANUAL REVIEW
0.046865104,58,0,10.0,5400.0,4,0,2,0,0.0,0,54000.0,0.097323600973236,0,0.16903732680821823,533,501-600,MANUAL REVIEW
0.0,52,3,0.18717023,3600.0,7,0,1,0,0.0,3,673.812828,0.19943019943019943,0,0.3960406540016453,499,300-500,DECLINE
0.007740597,31,0,0.092984503,6000.0,6,0,0,0,2.0,0,557.907018,0.425531914893617,0,0.23855783115863263,520,501-600,MANUAL REVIEW
0.325979221,63,0,0.288244453,5137.0,5,0,1,0,0.0,0,1480.711755061,0.10845986984815618,0,0.27309096012509515,515,501-600,MANUAL REVIEW
0.012376157,86,0,10.0,5400.0,13,0,0,0,0.0,0,54000.0,0.1881331403762663,0,0.10860094255821909,547,501-600,MANUAL REVIEW
0.888822236,59,0,0.324446814,3750.0,9,0,0,0,3.0,0,1216.6755524999999,0.21377672209026127,0,0.6532597237152518,468,300-500,DECLINE
0.11938366,53,0,0.268210368,10666.0,18,0,1,0,4.0,0,2860.731785088,0.4986149584487534,0,0.29349360135440944,512,501-600,MANUAL REVIEW
0.041948159,64,0,10.0,5400.0,16,0,1,0,0.0,0,54000.0,0.33970276008492567,0,0.1850246307024749,529,501-600,MANUAL REVIEW
0.352794998,54,1,10.0,5400.0,13,0,3,0,4.0,1,54000.0,0.3504043126684636,0,0.522812472533645,484,300-500,DECLINE
0.020370535,71,0,0.323558814,3000.0,28,0,1,0,0.0,0,970.676442,0.5175600739371534,0,0.22632369553305884,522,501-600,MANUAL REVIEW
0.091408666,45,0,0.166023166,3366.0,8,0,1,0,2.0,0,558.833976756,0.2846975088967971,0,0.26342111967360154,516,501-600,MANUAL REVIEW
0.47752827,73,0,1.170651818,3052.0,29,0,2,0,0.0,0,3572.829348536,0.5169340463458111,0,0.48506768432868064,488,300-500,DECLINE
0.077857023,52,0,0.309483726,7127.0,4,0,1,0,3.0,0,2205.690515202,0.11396011396011396,0,0.2103193768683267,525,501-600,MANUAL REVIEW
0.0,40,0,10.0,5400.0,11,0,1,0,1.0,0,54000.0,0.47619047619047616,0,0.22601761421503672,522,501-600,MANUAL REVIEW
0.038187238,41,0,0.420698633,9217.0,4,0,2,0,0.0,0,3877.5793003609997,0.16597510373443983,0,0.21311300116931045,524,501-600,MANUAL REVIEW
0.112635434,49,0,0.223050354,5500.0,7,0,0,0,1.0,0,1226.776947,0.21806853582554517,0,0.22226519967597566,523,501-600,MANUAL REVIEW
0.066300832,63,0,10.0,5400.0,9,0,1,0,0.0,0,54000.0,0.19522776572668113,0,0.1694876391837747,532,501-600,MANUAL REVIEW
0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,0,3055.6092590400003,1.0596026490066226,1,0.3856812637669581,500,300-500,DECLINE
0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0,0,1668.6096808500001,0.2990033222591362,0,0.6777977618445201,465,300-500,DECLINE
0.181718588,67,0,0.615310775,4166.0,8,0,1,0,0.0,0,2563.38468865,0.1596806387225549,0,0.2127634330489556,524,501-600,MANUAL REVIEW
0.9999999,49,0,0.148140068,9166.0,2,0,0,0,0.0,0,1357.8518632880002,0.06230529595015576,0,0.6578385231648474,468,300-500,DECLINE
0.060478954,70,0,0.042526182,3150.0,3,0,0,0,0.0,0,133.9574733,0.05649717514124294,0,0.13658093925764625,540,501-600,MANUAL REVIEW
0.029012904,46,0,10.0,5400.0,7,0,1,0,0.0,0,54000.0,0.24054982817869414,0,0.19246858337027628,528,501-600,MANUAL REVIEW
0.571684711,32,0,0.077475789,3200.0,5,3,0,0,0.0,3,247.92252480000002,0.33112582781456956,0,0.7287552343229765,458,300-500,DECLINE
0.000336442,34,0,0.159802972,12383.0,7,0,1,0,2.0,0,1978.840202276,0.4093567251461988,0,0.22436960972736414,522,501-600,MANUAL REVIEW
0.018098652,81,0,0.095803395,9602.0,7,0,0,0,0.0,0,919.90419879,0.10920436817472699,0,0.10352324604700273,549,501-600,MANUAL REVIEW
0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,3,1980.632124632,0.1837270341207349,1,0.8070684854711265,445,300-500,DECLINE
0.0,34,0,0.305157919,4400.0,8,0,1,0,1.0,0,1342.6948436,0.4678362573099415,0,0.24903189850338514,518,501-600,MANUAL REVIEW
1.0,48,0,0.466785159,4500.0,18,0,1,0,0.0,0,2100.5332155,0.5787781350482315,0,0.7845153688963179,449,300-500,DECLINE
0.9999999,38,0,0.040274207,3500.0,1,2,0,0,1.0,2,140.9597245,0.04739336492890995,0,0.8241428996419708,442,300-500,DECLINE
0.123238967,57,0,0.011065191,7500.0,4,0,0,0,1.0,0,82.9889325,0.0997506234413965,0,0.18445672742863933,530,501-600,MANUAL REVIEW
0.055491395,39,0,10.0,5400.0,5,0,1,0,0.0,0,54000.0,0.2262443438914027,0,0.21409361181595027,524,501-600,MANUAL REVIEW
0.353738474,65,0,0.379633902,6500.0,6,0,1,0,0.0,0,2467.620363,0.12474012474012473,0,0.2800500157794752,514,501-600,MANUAL REVIEW
0.006816847,67,0,0.416597234,6000.0,13,0,3,0,0.0,0,2499.583404,0.25948103792415167,0,0.18967901232271572,529,501-600,MANUAL REVIEW
0.0,63,0,0.161207484,19080.0,7,0,1,0,1.0,0,3075.8387947200004,0.15184381778741865,0,0.12572420960632266,543,501-600,MANUAL REVIEW
0.306615667,53,0,0.320165813,4100.0,7,0,1,0,1.0,0,1312.6798333000002,0.19390581717451522,0,0.32368380561354004,508,501-600,MANUAL REVIEW
1.0,33,2,0.111083622,4041.0,3,0,0,1,0.0,3,448.88891650200003,0.18633540372670807,1,0.8389290605363477,439,300-500,DECLINE
0.053353566,45,0,0.159034715,10110.0,11,0,1,0,3.0,0,1607.84096865,0.39145907473309605,0,0.24615542104243684,519,501-600,MANUAL REVIEW
0.085884528,72,0,10.0,5400.0,4,0,0,0,0.0,0,54000.0,0.07259528130671507,0,0.1283464246608053,542,501-600,MANUAL REVIEW
0.961006499,52,0,0.444357367,3827.0,4,0,1,0,0.0,0,1700.555643509,0.11396011396011396,0,0.6789351570498484,465,300-500,DECLINE
0.301214642,62,1,0.550064277,7000.0,17,0,2,0,0.0,1,3850.4499390000005,0.376940133037694,0,0.4279323607178075,495,300-500,DECLINE
0.9999999,65,0,0.165706974,3125.0,5,0,1,0,0.0,0,517.83429375,0.10395010395010394,0,0.6606858131750646,467,300-500,DECLINE
0.05187958,84,0,0.098816864,6000.0,10,0,1,0,0.0,0,592.9011840000001,0.1490312965722802,0,0.13106091953202792,541,501-600,MANUAL REVIEW
0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,5,2570.532462394,0.45317220543806647,1,0.7828394841776921,450,300-500,DECLINE
0.034055506,85,1,0.01076509,2600.0,9,0,0,0,0.0,1,27.989234,0.13215859030837004,0,0.1625010465391661,534,501-600,MANUAL REVIEW
0.236010581,43,0,0.794037448,5500.0,15,0,4,0,2.0,0,4367.205964,0.5747126436781609,0,0.4471615674225387,493,300-500,DECLINE
0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1,1929.669235926,0.2762430939226519,1,0.3211551141654329,508,501-600,MANUAL REVIEW
0.006415907,33,0,10.0,5400.0,6,0,2,0,0.0,0,54000.0,0.37267080745341613,0,0.2344683736343837,521,501-600,MANUAL REVIEW
0.703627004,37,1,1.237175217,1500.0,8,0,1,0,4.0,1,1855.7628255000002,0.3980099502487562,0,0.742236965805832,456,300-500,DECLINE
0.472849007,67,0,0.300560275,5532.0,7,0,2,0,0.0,0,1662.6994413,0.13972055888223553,0,0.36467102761403064,503,501-600,MANUAL REVIEW
0.9999999,57,0,10.0,5400.0,5,0,1,0,0.0,0,54000.0,0.12468827930174563,0,0.6638631921612249,467,300-500,DECLINE
0.048850024,57,0,0.327686754,3600.0,11,0,1,0,1.0,0,1179.6723144,0.2743142144638404,0,0.2111160536566817,525,501-600,MANUAL REVIEW
0.981023446,32,0,0.306117591,4200.0,8,0,0,0,1.0,0,1285.6938822000002,0.5298013245033113,0,0.7755926898363651,451,300-500,DECLINE
0.319961366,36,0,10.0,5400.0,8,0,0,0,1.0,0,54000.0,0.41884816753926696,0,0.3651509756156156,503,501-600,MANUAL REVIEW
0.978469083,39,3,0.500466604,7500.0,14,0,2,0,2.0,3,3753.49953,0.6334841628959276,0,0.9250489744919742,414,300-500,DECLINE
0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,0,67.983004,0.10183299389002036,0,0.1527449318421515,536,501-600,MANUAL REVIEW
0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,0,1028.8366956,0.1557632398753894,0,0.45828202719199757,491,300-500,DECLINE
0.120196566,61,0,0.240344957,8000.0,8,0,1,0,0.0,0,1922.759656,0.18140589569160998,0,0.19487375250843594,528,501-600,MANUAL REVIEW
0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,1,5477.45225,0.3826955074875208,0,0.29412305828083857,512,501-600,MANUAL REVIEW
0.022693713,79,0,10.0,5400.0,6,0,0,0,0.0,0,54000.0,0.0966183574879227,0,0.10554685736398152,548,501-600,MANUAL REVIEW
0.952349217,46,0,0.197001249,2400.0,4,0,0,0,0.0,0,472.80299759999997,0.1374570446735395,0,0.6842720387474504,464,300-500,DECLINE
0.064749945,66,0,0.14706417,5500.0,8,0,2,0,0.0,0,808.852935,0.1629327902240326,0,0.1819453727326064,530,501-600,MANUAL REVIEW
0.032389762,68,0,10.0,5400.0,8,0,1,0,0.0,0,54000.0,0.15655577299412915,0,0.1437674182134128,538,501-600,MANUAL REVIEW
0.02413419,61,0,0.341996129,3616.0,11,0,1,0,1.0,0,1236.658002464,0.2494331065759637,0,0.1900322667986596,528,501-600,MANUAL REVIEW
0.016687473,50,0,0.064738524,5946.0,5,0,0,0,3.0,0,384.935263704,0.1510574018126888,0,0.18580462082382349,529,501-600,MANUAL REVIEW
0.001829231,63,0,10.0,5400.0,10,0,0,0,0.0,0,54000.0,0.21691973969631237,0,0.14064602836947726,539,501-600,MANUAL REVIEW
0.0,42,1,0.442820658,7047.0,12,0,3,0,2.0,1,3120.557176926,0.4780876494023904,0,0.35239619863915617,504,501-600,MANUAL REVIEW
0.253438263,54,0,0.577526534,4333.0,16,0,1,0,0.0,0,2502.422471822,0.43126684636118595,0,0.33340801850245505,507,501-600,MANUAL REVIEW
0.186554536,40,0,10.0,5400.0,6,0,1,0,0.0,0,54000.0,0.2597402597402597,0,0.2748608122276901,515,501-600,MANUAL REVIEW
0.478152839,42,0,10.0,5400.0,7,0,2,0,7.0,0,54000.0,0.2788844621513944,0,0.5333911515041151,483,300-500,DECLINE
0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,2,1400.90169675,0.17316017316017315,1,0.5772284849610232,478,300-500,DECLINE
0.314367508,51,1,0.28897466,11917.0,13,0,2,0,2.0,1,3443.71102322,0.3812316715542522,0,0.45868210860986813,491,300-500,DECLINE
0.056930751,58,0,0.238195756,9000.0,10,0,1,0,3.0,0,2143.761804,0.24330900243309,0,0.20557640028902738,526,501-600,MANUAL REVIEW
0.443413437,46,0,0.623415882,8600.0,7,0,2,0,4.0,0,5361.3765852,0.24054982817869414,0,0.46711866529296225,490,300-500,DECLINE
0.093974603,33,0,0.368527406,7917.0,12,0,1,0,0.0,0,2917.631473302,0.7453416149068323,0,0.3036309815603673,511,501-600,MANUAL REVIEW
0.9999999,27,0,10.0,5400.0,4,0,0,0,0.0,0,54000.0,0.39603960396039606,0,0.7526464171918686,455,300-500,DECLINE
0.016543069,36,0,0.169318483,7541.0,6,0,2,0,3.0,0,1276.830680303,0.31413612565445026,0,0.2600901429725117,517,501-600,MANUAL REVIEW
0.991923853,43,1,0.310990242,6250.0,9,0,1,0,3.0,1,1943.6890124999998,0.3448275862068965,0,0.828769080165,441,300-500,DECLINE
0.876086455,48,0,1.057471264,2000.0,3,0,1,0,2.0,0,2114.942528,0.09646302250803858,0,0.664545214132405,467,300-500,DECLINE
0.839907542,29,0,10.0,2.0,8,0,0,0,0.0,0,20.0,0.6611570247933884,0,0.6320365169348597,471,300-500,DECLINE
0.027136493,57,0,0.251124813,6000.0,25,0,2,0,0.0,0,1506.748878,0.6234413965087282,0,0.27026301983062384,515,501-600,MANUAL REVIEW
0.075849847,68,0,10.0,5400.0,15,0,1,0,2.0,0,54000.0,0.29354207436399216,0,0.19653152140806093,527,501-600,MANUAL REVIEW
0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0,0,141.93855522,0.10471204188481674,0,0.7275135707098337,458,300-500,DECLINE
0.479507032,54,0,0.847180748,5692.0,10,0,2,0,0.0,0,4822.152817616,0.2695417789757412,0,0.44062560561633723,494,300-500,DECLINE
0.016599078,82,0,10.0,0.0,5,0,0,0,0.0,0,0.0,0.07680491551459294,0,0.07512653090601176,559,501-600,MANUAL REVIEW
0.047634491,63,0,0.041983207,2500.0,9,0,0,0,0.0,0,104.9580175,0.19522776572668113,0,0.16989496108929758,532,501-600,MANUAL REVIEW
0.138763894,57,1,0.13865901,5920.0,13,0,0,0,1.0,1,820.8613392,0.32418952618453867,0,0.3062375757630962,510,501-600,MANUAL REVIEW
0.373905821,63,1,0.30333855,3833.0,8,0,1,0,0.0,1,1162.6966621499998,0.1735357917570499,0,0.4009332509269204,498,300-500,DECLINE
0.000621749,52,0,0.237327546,12901.0,10,0,2,0,3.0,0,3061.762670946,0.2849002849002849,0,0.2036045596505964,526,501-600,MANUAL REVIEW
0.0,65,1,0.515065757,6006.0,17,0,2,0,0.0,1,3093.484936542,0.3534303534303534,0,0.2571396544176294,517,501-600,MANUAL REVIEW
0.792219085,48,3,0.786014266,15000.0,25,0,3,0,0.0,3,11790.21399,0.8038585209003215,0,0.889075693694996,427,300-500,DECLINE
0.961610637,50,0,0.201680672,8210.0,13,0,0,0,1.0,0,1655.79831712,0.39274924471299094,0,0.7131025534387514,460,300-500,DECLINE
0.233301655,71,0,0.20417685,4500.0,11,0,1,0,0.0,0,918.7958249999999,0.2033271719038817,0,0.2361972316008653,520,501-600,MANUAL REVIEW
0.873481732,42,0,0.53873267,12766.0,11,0,3,0,0.0,0,6877.46126522,0.43824701195219123,0,0.7205141820092676,459,300-500,DECLINE
0.95566447,53,0,0.564831261,1688.0,6,0,0,0,0.0,0,953.435168568,0.16620498614958448,0,0.6715374508644821,466,300-500,DECLINE
0.9999999,44,1,0.876712329,8102.0,5,0,2,0,2.0,1,7103.123289558,0.18450184501845018,0,0.8148493044826732,444,300-500,DECLINE
0.30428262,32,0,0.274722886,4600.0,8,0,1,0,0.0,0,1263.7252756,0.5298013245033113,0,0.40908110822216337,497,300-500,DECLINE
0.99340066,32,0,0.120646559,6000.0,3,0,0,0,2.0,0,723.879354,0.19867549668874174,0,0.7532943746726335,454,300-500,DECLINE
0.491954789,32,0,0.177573167,3040.0,10,0,0,0,1.0,0,539.82242768,0.6622516556291391,0,0.5351952197853611,483,300-500,DECLINE
0.100273342,39,0,0.447159317,5033.0,5,0,1,0,0.0,0,2250.552842461,0.2262443438914027,0,0.2482671389000143,519,501-600,MANUAL REVIEW
0.658606265,41,0,0.331726477,5600.0,11,0,1,0,3.0,0,1857.6682712000002,0.45643153526970953,0,0.6261094406826571,472,300-500,DECLINE
0.001519711,43,0,0.380680296,11200.0,8,0,2,0,2.0,0,4263.6193152,0.3065134099616858,0,0.22070105120291142,523,501-600,MANUAL REVIEW
0.726810267,61,0,0.219839008,20000.0,21,0,2,0,0.0,0,4396.78016,0.47619047619047616,0,0.56639175566957,479,300-500,DECLINE
0.127797517,46,0,1.663941871,1100.0,6,0,1,0,0.0,0,1830.3360581,0.20618556701030927,0,0.24611283456809227,519,501-600,MANUAL REVIEW
0.03050621,63,0,10.0,5400.0,8,0,1,0,0.0,0,54000.0,0.1735357917570499,0,0.15412480579308704,536,501-600,MANUAL REVIEW
0.015545339,49,0,10.0,5400.0,6,0,1,0,0.0,0,54000.0,0.18691588785046728,0,0.17532580195410272,531,501-600,MANUAL REVIEW
0.0,63,0,0.502165945,3000.0,6,0,1,0,0.0,0,1506.497835,0.1301518438177874,0,0.1528181397841681,536,501-600,MANUAL REVIEW
0.018805187,64,0,0.003857033,11666.0,11,0,0,0,0.0,0,44.996146978,0.23354564755838642,0,0.14119412457940947,539,501-600,MANUAL REVIEW
0.050117159,53,0,10.0,0.0,10,0,1,0,0.0,0,0.0,0.27700831024930744,0,0.15341594598247327,536,501-600,MANUAL REVIEW
0.0,63,0,0.464764692,4100.0,6,0,1,0,0.0,0,1905.5352372,0.1301518438177874,0,0.15055767824051383,537,501-600,MANUAL REVIEW
0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,0,3611.4267546,0.8411214953271028,1,0.44960142391724056,492,300-500,DECLINE
